FID,straatnaam,huisnummer,huisletter,toevoeging,woonplaats,postcode,geom
inspireadressen.3678,Trekpad,23,,,Loosdrecht,1231PA,POINT (131883.82017376227 467795.53219113726)
inspireadressen.3679,Trekpad,25,,,Loosdrecht,1231PA,POINT (131845.9427965003 467814.01946071186)
inspireadressen.3680,Trekpad,31,,,Loosdrecht,1231PA,POINT (131605.1720083564 467793.7121828713)
inspireadressen.3681,Drecht,10,,,Loosdrecht,1231MJ,POINT (133173.19755451274 467809.4664514127)
inspireadressen.3682,Drecht,14,,,Loosdrecht,1231MJ,POINT (132981.36941397123 467781.88639486197)
inspireadressen.3683,Drecht,16,,,Loosdrecht,1231MJ,POINT (132943.03529607254 467766.5496538051)
inspireadressen.3684,Drecht,18,,,Loosdrecht,1231MJ,POINT (132861.235804057 467803.75323181273)
inspireadressen.3685,Trekpad,2,,,Loosdrecht,1231PA,POINT (131339.85534911245 467904.3119278514)
inspireadressen.3686,Oud-Loosdrechtsedijk,165,,ws08,Loosdrecht,1231LV,POINT (134280.9287930189 468600.44816516555)
inspireadressen.3687,Oud-Loosdrechtsedijk,165,,ws04,Loosdrecht,1231LV,POINT (134242.21174728923 468604.06634410116)
inspireadressen.3688,Oud-Loosdrechtsedijk,249,a,ws06,Loosdrecht,1231LX,POINT (133544.44085373156 468678.7832212695)
inspireadressen.3689,Oud-Loosdrechtsedijk,97,a,ws05,Loosdrecht,1231LR,POINT (135527.7770432706 468337.36942857946)
inspireadressen.3690,Oud-Loosdrechtsedijk,89,c,ws05,Loosdrecht,1231LR,POINT (135554.15062531375 468270.056230681)
inspireadressen.3691,Oud-Loosdrechtsedijk,89,c,ws04,Loosdrecht,1231LR,POINT (135628.52885422902 468391.8000116574)
inspireadressen.3692,Nieuw-Loosdrechtsedijk,212,e,ws02,Loosdrecht,1231LE,POINT (134993.94768185288 466846.1156208353)
inspireadressen.3693,Oud-Loosdrechtsedijk,272,a,ws01,Loosdrecht,1231NK,POINT (133447.33866666668 468954.2879092829)
inspireadressen.3694,Oud-Loosdrechtsedijk,272,a,ws02,Loosdrecht,1231NK,POINT (133454.41616232228 468952.0391426806)
inspireadressen.3695,Oud-Loosdrechtsedijk,272,a,ws03,Loosdrecht,1231NK,POINT (133440.59114673888 468957.6829272809)
inspireadressen.3696,Oud-Loosdrechtsedijk,272,a,ws04,Loosdrecht,1231NK,POINT (133434.17630726928 468960.9259921076)
inspireadressen.3697,Oud-Loosdrechtsedijk,272,a,ws05,Loosdrecht,1231NK,POINT (133439.5157835096 468909.68600253446)
inspireadressen.3698,Oud-Loosdrechtsedijk,237,,ws14,Loosdrecht,1231LX,POINT (133604.3840263604 468676.3766493978)
inspireadressen.3699,Dammerweg,58,a,,Nederhorst den Berg,1394GP,POINT (131886.7827356161 475853.9381903457)
inspireadressen.3700,Dammerweg,91,a,,Nederhorst den Berg,1394GS,POINT (131978.82215457453 476328.31709706614)
inspireadressen.3701,Dammerweg,92,,ws01,Nederhorst den Berg,1394GS,POINT (131932.22998724887 476345.10166515235)
inspireadressen.3702,Eilandseweg,4,a,,Nederhorst den Berg,1394JE,POINT (131729.51512970883 476607.6454668541)
inspireadressen.3703,Eilandseweg,10,c,,Nederhorst den Berg,1394JE,POINT (130658.97853448147 476048.85498878796)
inspireadressen.3704,Eilandseweg,11,a,,Nederhorst den Berg,1394JE,POINT (130406.65006074678 476053.3412124905)
inspireadressen.3705,Eilandseweg,14,a,,Nederhorst den Berg,1394JE,POINT (130305.6445507974 476118.1756920951)
inspireadressen.3706,Eilandseweg,19,b,,Nederhorst den Berg,1394JG,POINT (130513.66796814023 475119.0654888263)
inspireadressen.3707,Eilandseweg,27,a,,Nederhorst den Berg,1394JG,POINT (130726.9386149376 474431.3150057865)
inspireadressen.3708,Vreelandseweg,68,a,,Nederhorst den Berg,1394BN,POINT (131649.7840188957 473653.5915104076)
inspireadressen.3709,Vreelandseweg,68,b,,Nederhorst den Berg,1394BN,POINT (131657.13101176175 473627.61071861745)
inspireadressen.3710,Vreelandseweg,70,a,,Nederhorst den Berg,1394BN,POINT (131691.81823977485 473561.75153030944)
inspireadressen.3711,Vreelandseweg,70,b,,Nederhorst den Berg,1394BN,POINT (131707.38438192458 473545.60214237106)
inspireadressen.3712,Vreelandseweg,70,c,,Nederhorst den Berg,1394BN,POINT (131721.18434957057 473527.89886929386)
inspireadressen.3713,Vreelandseweg,70,d,,Nederhorst den Berg,1394BN,POINT (131747.10852165258 473498.4750106381)
inspireadressen.3714,Nieuw-Loosdrechtsedijk,220,a,,Loosdrecht,1231LE,POINT (134940.8239700415 466665.70086050825)
inspireadressen.3715,Oud-Loosdrechtsedijk,97,a,ws07,Loosdrecht,1231LR,POINT (135444.937201733 468323.68997563544)
inspireadressen.3716,Oud-Loosdrechtsedijk,185,a,ws04,Loosdrecht,1231LW,POINT (134144.43975455887 468674.27841933223)
inspireadressen.3717,Oud-Loosdrechtsedijk,249,a,ws01,Loosdrecht,1231LX,POINT (133596.76939329927 468720.2906721477)
inspireadressen.3718,Oud-Loosdrechtsedijk,249,a,ws02,Loosdrecht,1231LX,POINT (133602.07893522305 468719.5751076992)
inspireadressen.3719,Oud-Loosdrechtsedijk,165,,ws09,Loosdrecht,1231LV,POINT (134296.97256412284 468599.6763244828)
inspireadressen.3720,Eilandseweg,19,c,,Nederhorst den Berg,1394JG,POINT (130532.27314696075 475106.6958927334)
inspireadressen.3721,Beresteinseweg,29,,,'s-Graveland,1243LC,POINT (138080.0043053265 470754.30831648863)
inspireadressen.3722,Oud-Loosdrechtsedijk,237,,ws06,Loosdrecht,1231LX,POINT (133593.48585944422 468632.09794195316)
inspireadressen.3723,Beresteinseweg,30,,,'s-Graveland,1243LC,POINT (138096.09736811533 470751.6024560776)
inspireadressen.3724,Beresteinseweg,31,,,'s-Graveland,1243LC,POINT (138114.55899752103 470749.03084481467)
inspireadressen.3725,Kortenhoefsedijk,185,,,Kortenhoef,1241NA,POINT (134363.35994471904 471278.61749838776)
inspireadressen.3726,Kortenhoefsedijk,186,a,,Kortenhoef,1241NA,POINT (134484.50182918477 471199.3529697124)
inspireadressen.3727,Kortenhoefsedijk,197,a,,Kortenhoef,1241NB,POINT (134308.15623529878 471158.02398435806)
inspireadressen.3728,Moleneind,50,,,Kortenhoef,1241NJ,POINT (133657.73825225385 470520.27102053195)
inspireadressen.3729,Vreelandseweg,100,a,,Kortenhoef,1241EZ,POINT (131450.76997505457 471379.6530403459)
inspireadressen.3730,Vreelandseweg,100,b,,Kortenhoef,1241EZ,POINT (131539.4212804653 471418.27826784214)
inspireadressen.3731,Meerweg,62,d,,Kropswolde,9606PP,POINT (243533.89366666667 573305.9713333334)
inspireadressen.3732,Horndijk,24,,ws02,Loosdrecht,1231NX,POINT (133235.520546585 469406.24216830754)
inspireadressen.3733,Oud-Loosdrechtsedijk,237,,ws12,Loosdrecht,1231LX,POINT (133694.9024953682 468702.5513790504)
inspireadressen.3734,Oud-Loosdrechtsedijk,237,,ws02,Loosdrecht,1231LX,POINT (133625.32273329614 468686.46633164794)
inspireadressen.3735,Oud-Loosdrechtsedijk,237,,ws04,Loosdrecht,1231LX,POINT (133609.33223599827 468672.6697699517)
inspireadressen.3736,Oud-Loosdrechtsedijk,237,,ws08,Loosdrecht,1231LX,POINT (133600.25681403253 468614.1708800171)
inspireadressen.3737,Oud-Loosdrechtsedijk,237,,ws03,Loosdrecht,1231LX,POINT (133615.5455427411 468690.3520653036)
inspireadressen.3738,Oud-Loosdrechtsedijk,237,,ws13,Loosdrecht,1231LX,POINT (133696.37668892214 468669.50894979574)
inspireadressen.3739,Kortenhoefsedijk,203,a,,Kortenhoef,1241NB,POINT (134324.04017687152 471031.02463802544)
inspireadressen.3740,Kortenhoefsedijk,203,b,,Kortenhoef,1241NB,POINT (134313.3108248177 471036.4441536887)
inspireadressen.3741,Moleneind,66,,ws01,Kortenhoef,1241NK,POINT (133358.4805 470318.44999999995)
inspireadressen.3742,Moleneind,71,,ws02,Kortenhoef,1241NK,POINT (133283.23773245476 470184.2742719431)
inspireadressen.3743,Moleneind,71,,ws03,Kortenhoef,1241NK,POINT (133267.9579372989 470270.4719723043)
inspireadressen.3744,Moleneind,71,,ws04,Kortenhoef,1241NK,POINT (133287.73190498687 470260.94123753975)
inspireadressen.3745,Moleneind,71,,ws05,Kortenhoef,1241NK,POINT (133310.84156835734 470247.58033728926)
inspireadressen.3746,Moleneind,71,,ws06,Kortenhoef,1241NK,POINT (133351.97645345493 470234.4838076641)
inspireadressen.3747,Veendijk,2,e,,Loosdrecht,1231PB,POINT (133132.00551296078 468685.09744731645)
inspireadressen.3748,Zuwe,18,n,,Kortenhoef,1241NC,POINT (133714.2136615229 471114.89547696646)
inspireadressen.3749,Zuwe,18,p,,Kortenhoef,1241NC,POINT (133717.1006270882 471085.9221662019)
inspireadressen.3750,Zuwe,18,r,,Kortenhoef,1241NC,POINT (133732.47170385977 471104.6758034194)
inspireadressen.3751,Zuwe,18,m,,Kortenhoef,1241NC,POINT (133703.14507498918 471100.59738934983)
inspireadressen.3752,Zuwe,18,q,,Kortenhoef,1241NC,POINT (133723.9214223096 471081.925335101)
inspireadressen.3753,Zuwe,18,s,,Kortenhoef,1241NC,POINT (133739.11227469298 471118.1181339311)
inspireadressen.3754,Zuwe,18,t,,Kortenhoef,1241NC,POINT (133745.1342744348 471123.74908893905)
inspireadressen.3755,Dammerweg,100,,ws03,Nederhorst den Berg,1394GS,POINT (132035.399951643 476400.2766941694)
inspireadressen.3756,Nieuw-Loosdrechtsedijk,240,a,ws01,Loosdrecht,1231LG,POINT (134450.84474855833 466628.27053652157)
inspireadressen.3757,Nieuw-Loosdrechtsedijk,240,a,ws02,Loosdrecht,1231LG,POINT (134402.05597803812 466625.04678482347)
inspireadressen.3758,Nieuw-Loosdrechtsedijk,240,a,ws03,Loosdrecht,1231LG,POINT (134404.36798351654 466651.4104279099)
inspireadressen.3759,Nieuw-Loosdrechtsedijk,240,a,ws04,Loosdrecht,1231LG,POINT (134411.85706666758 466652.8779322835)
inspireadressen.3760,Nieuw-Loosdrechtsedijk,240,a,ws05,Loosdrecht,1231LG,POINT (134419.65616144013 466653.54657814367)
inspireadressen.3761,Nieuw-Loosdrechtsedijk,240,a,ws06,Loosdrecht,1231LG,POINT (134427.23465437375 466654.3749196983)
inspireadressen.3762,Nieuw-Loosdrechtsedijk,240,a,ws07,Loosdrecht,1231LG,POINT (134435.30708884876 466655.19865751493)
inspireadressen.3763,Nieuw-Loosdrechtsedijk,240,a,ws08,Loosdrecht,1231LG,POINT (134443.27046492786 466655.9280859429)
inspireadressen.3764,Nieuw-Loosdrechtsedijk,240,a,ws09,Loosdrecht,1231LG,POINT (134451.26821655277 466656.5982345795)
inspireadressen.3765,Zuwe,20,,ws03,Kortenhoef,1241NC,POINT (133668.00684648342 471273.2297213979)
inspireadressen.3766,Eilandseweg,19,,ws01,Nederhorst den Berg,1394JG,POINT (130458.15040698793 475125.4217372527)
inspireadressen.3767,Slotlaan,23,,ws01,Nederhorst den Berg,1394BK,POINT (131368.54768402924 474381.09244480735)
inspireadressen.3768,Eilandseweg,7,a,ws01,Nederhorst den Berg,1394JE,POINT (131223.33738640128 476549.78647151456)
inspireadressen.3769,Eilandseweg,7,a,ws02,Nederhorst den Berg,1394JE,POINT (131212.66517835783 476543.6918110996)
inspireadressen.3770,Oud-Loosdrechtsedijk,113,c,D8,Loosdrecht,1231LS,POINT (135083.04402371202 468639.0519551447)
inspireadressen.3771,Dammerweg,103,,ws01,Nederhorst den Berg,1394GT,POINT (132013.07949783167 476439.53053632274)
inspireadressen.3772,Veendijk,17,a,ws05,Loosdrecht,1231PC,POINT (132959.2429940392 468225.4712479805)
inspireadressen.3773,Moleneind,2,a,ws01,Kortenhoef,1241NE,POINT (134131.52825285474 470903.1683031229)
inspireadressen.3774,Moleneind,2,a,ws02,Kortenhoef,1241NE,POINT (134120.1307458811 470912.8882861573)
inspireadressen.3775,Moleneind,2,a,ws03,Kortenhoef,1241NE,POINT (134091.25159284534 470918.770596951)
inspireadressen.3776,Moleneind,23,,ws01,Kortenhoef,1241NG,POINT (133919.50240094622 470714.26210006425)
inspireadressen.3777,Moleneind,23,,ws02,Kortenhoef,1241NG,POINT (133911.7253239113 470718.1934578239)
inspireadressen.3778,Moleneind,23,,ws03,Kortenhoef,1241NG,POINT (133727.2463059914 470944.0656863013)
inspireadressen.3779,Moleneind,23,,ws04,Kortenhoef,1241NG,POINT (133700.8720401051 470983.1448852822)
inspireadressen.3780,Oud-Loosdrechtsedijk,131,,ws01,Loosdrecht,1231LT,POINT (134755.19284005917 468702.770583491)
inspireadressen.3781,Oud-Loosdrechtsedijk,131,,ws02,Loosdrecht,1231LT,POINT (134834.546428539 468696.07316056837)
inspireadressen.3782,Oud-Loosdrechtsedijk,131,,ws03,Loosdrecht,1231LT,POINT (134723.14644220384 468619.2275296145)
inspireadressen.3783,Oud-Loosdrechtsedijk,131,,ws04,Loosdrecht,1231LT,POINT (134760.33437261393 468543.5799861001)
inspireadressen.3784,Oud-Loosdrechtsedijk,131,,ws05,Loosdrecht,1231LT,POINT (134713.1197304199 468529.8773941665)
inspireadressen.3785,Oud-Loosdrechtsedijk,131,,ws06,Loosdrecht,1231LT,POINT (134698.55182424263 468510.3206980921)
inspireadressen.3786,Oud-Loosdrechtsedijk,131,,ws07,Loosdrecht,1231LT,POINT (134720.347669555 468469.1335900427)
inspireadressen.3787,Oud-Loosdrechtsedijk,131,,ws08,Loosdrecht,1231LT,POINT (134705.89152685532 468438.7961690428)
inspireadressen.3788,Oud-Loosdrechtsedijk,131,,ws09,Loosdrecht,1231LT,POINT (134678.7241959592 468370.2754516727)
inspireadressen.3789,Oud-Loosdrechtsedijk,131,,ws10,Loosdrecht,1231LT,POINT (134663.1486352586 468339.53495983273)
inspireadressen.3790,Oud-Loosdrechtsedijk,131,,ws11,Loosdrecht,1231LT,POINT (134679.076097353 468337.9799513236)
inspireadressen.3791,Oud-Loosdrechtsedijk,131,,ws12,Loosdrecht,1231LT,POINT (134687.38051779478 468355.6500545677)
inspireadressen.3792,Veendijk,22,,ws08,Loosdrecht,1231PD,POINT (132908.16434829292 468054.09219203755)
inspireadressen.3793,Veendijk,22,,ws07,Loosdrecht,1231PD,POINT (132897.38658675863 468025.41795220546)
inspireadressen.3794,Veendijk,22,,ws06,Loosdrecht,1231PD,POINT (132889.3950264092 468028.01973875146)
inspireadressen.3795,Veendijk,22,,ws05,Loosdrecht,1231PD,POINT (132882.8379718194 468032.93200000003)
inspireadressen.3796,Veendijk,22,,ws04,Loosdrecht,1231PD,POINT (132874.7946469666 468034.52054885915)
inspireadressen.3797,Nieuweweg,26,,ws01,Breukeleveen,3625AZ,POINT (131805.6363703702 464306.3123469091)
inspireadressen.3798,Nieuw-Loosdrechtsedijk,212,,ws01,Loosdrecht,1231LE,POINT (135103.82516797513 466761.71307713265)
inspireadressen.3799,Nieuw-Loosdrechtsedijk,212,,ws02,Loosdrecht,1231LE,POINT (135103.95394883805 466778.2144664019)
inspireadressen.3800,Nieuw-Loosdrechtsedijk,212,,ws03,Loosdrecht,1231LE,POINT (135104.33893835818 466794.6974859703)
inspireadressen.3801,Nieuw-Loosdrechtsedijk,212,,ws04,Loosdrecht,1231LE,POINT (135104.58164227492 466810.97713271185)
inspireadressen.3802,Nieuw-Loosdrechtsedijk,212,,ws05,Loosdrecht,1231LE,POINT (135104.469583332 466826.2022659087)
inspireadressen.3803,Nieuw-Loosdrechtsedijk,212,,ws06,Loosdrecht,1231LE,POINT (135104.2413284904 466843.39089487295)
inspireadressen.3804,Nieuw-Loosdrechtsedijk,212,,ws07,Loosdrecht,1231LE,POINT (135103.86195528618 466857.94371494465)
inspireadressen.3805,Nieuw-Loosdrechtsedijk,212,,ws08,Loosdrecht,1231LE,POINT (135100.15276149474 466869.80518191727)
inspireadressen.3806,Nieuw-Loosdrechtsedijk,212,,ws09,Loosdrecht,1231LE,POINT (135103.469276689 466886.03084832616)
inspireadressen.3807,Nieuw-Loosdrechtsedijk,212,e,ws01,Loosdrecht,1231LE,POINT (135002.78739968632 466933.544954569)
inspireadressen.3808,Kortenhoefsedijk,108,b,,Kortenhoef,1241LV,POINT (135110.21413382678 471629.7806253026)
inspireadressen.3809,'t BreukeleveenseMeentje,10,a,,Loosdrecht,1231LM,POINT (133179.2594483466 466213.4712414325)
inspireadressen.3810,Zuwe,23,,,Kortenhoef,1241NC,POINT (134005.62070209696 471030.01516925386)
inspireadressen.3811,Dammerweg,84,a,,Nederhorst den Berg,1394GR,POINT (131949.08122557795 476250.20211457496)
inspireadressen.3812,Dammerweg,84,c,,Nederhorst den Berg,1394GR,POINT (131982.96680689213 476241.33645144466)
inspireadressen.3813,Moleneind,71,,,Kortenhoef,1241NK,POINT (133367.38013697567 470179.7863080306)
inspireadressen.3814,Oud-Loosdrechtsedijk,165,,ws10,Loosdrecht,1231LV,POINT (134311.56798233415 468695.59299452184)
inspireadressen.3815,Nieuw-Loosdrechtsedijk,212,e,ws03,Loosdrecht,1231LE,POINT (134993.86195425736 466884.0939624776)
inspireadressen.3816,Nieuw-Loosdrechtsedijk,212,e,ws04,Loosdrecht,1231LE,POINT (134995.46694587765 466867.9404944724)
inspireadressen.3817,Oud-Loosdrechtsedijk,145,,ws01,Loosdrecht,1231LT,POINT (134533.63517468653 468591.2219960678)
inspireadressen.3818,Nieuw-Loosdrechtsedijk,212,,w10a,Loosdrecht,1231LE,POINT (135101.28836713787 466910.3822484689)
inspireadressen.3819,Nieuw-Loosdrechtsedijk,212,,w10b,Loosdrecht,1231LE,POINT (135101.1109839217 466899.50254088663)
inspireadressen.3820,Moleneind,66,,ws02,Kortenhoef,1241NK,POINT (133415.71806625093 470232.89509840263)
inspireadressen.3821,Oud-Loosdrechtsedijk,237,,ws05,Loosdrecht,1231LX,POINT (133600.65503880152 468651.1834387147)
inspireadressen.3822,Oud-Loosdrechtsedijk,237,,ws10,Loosdrecht,1231LX,POINT (133619.41183897498 468611.49212108355)
inspireadressen.3823,Oud-Loosdrechtsedijk,237,,ws11,Loosdrecht,1231LX,POINT (133627.43390495577 468610.2633741096)
inspireadressen.3824,Eilandseweg,27,b,,Nederhorst den Berg,1394JG,POINT (130702.92859886987 474358.12111492176)
inspireadressen.3825,Nieuw-Loosdrechtsedijk,268,b,,Loosdrecht,1231LH,POINT (133788.3857785611 466553.36147140263)
inspireadressen.3826,Oud-Loosdrechtsedijk,249,a,ws07,Loosdrecht,1231LX,POINT (133547.57835194905 468659.7798338787)
inspireadressen.3827,Bloklaan,22,a,SZ01,Loosdrecht,1231AZ,POINT (130120.3001990722 468277.1490995264)
inspireadressen.3828,Oud-Loosdrechtsedijk,272,a,ws06,Loosdrecht,1231NK,POINT (133448.07597942487 468927.0120782315)
inspireadressen.3829,Oud-Loosdrechtsedijk,89,c,ws07,Loosdrecht,1231LR,POINT (135607.42556967444 468381.1133062948)
inspireadressen.3830,Eilandseweg,25,,,Nederhorst den Berg,1394JG,POINT (130794.9595932804 474506.77365895367)
inspireadressen.3831,Eilandseweg,10,,ws01,Nederhorst den Berg,1394JE,POINT (130734.04335889283 476109.37702921306)
inspireadressen.3832,Eilandseweg,10,,ws02,Nederhorst den Berg,1394JE,POINT (130729.1840050967 476084.62076793023)
inspireadressen.3833,Oud-Loosdrechtsedijk,237,,ws15,Loosdrecht,1231LX,POINT (133678.79833333334 468631.52886711835)
inspireadressen.3834,Moleneind,7,a,ws,Kortenhoef,1241NE,POINT (134320.74038106596 470701.20053479186)
inspireadressen.3835,Matsloot,1002,,,Matsloot,9749TJ,POINT (226001.5849792154 578995.6138022706)
inspireadressen.3836,Matsloot,1001,,,Matsloot,9749TJ,POINT (225950.92750000002 578980.4519999999)
inspireadressen.3837,Matsloot,1004,,,Matsloot,9749TJ,POINT (226038.0335419989 578940.3432635639)
inspireadressen.3838,Matsloot,1003,,,Matsloot,9749TJ,POINT (226032.3975 578959.7890000001)
inspireadressen.3839,Looveer,5,b,,Huissen,6851AJ,POINT (194417.67080871927 438548.4466898479)
inspireadressen.3840,Looveer,14,a,,Huissen,6851AJ,POINT (194385.37772080064 438418.1019027225)
inspireadressen.3841,Looveer,3,e,,Huissen,6851AJ,POINT (194363.77700000003 439136.68399999995)
inspireadressen.3842,Polder,48,a,,Gendt,6691MG,POINT (196182.742781336 431430.6863718724)
inspireadressen.3843,Looveer,3,,,Huissen,6851AJ,POINT (194401.58694280442 438904.8586297329)
inspireadressen.3844,Looveer,5,c,,Huissen,6851AJ,POINT (194414.18519128082 438568.14381016843)
inspireadressen.3845,Kanaalweg,3,b,,Blokzijl,8356VS,POINT (193519.56504750447 526528.3299488266)
inspireadressen.3846,Kanaalweg,3,c,,Blokzijl,8356VS,POINT (193443.4592522544 526441.3358896265)
inspireadressen.3847,Kanaalweg,3,d,,Blokzijl,8356VS,POINT (193420.1740419791 526418.8070403731)
inspireadressen.3848,Kanaalweg,3,e,,Blokzijl,8356VS,POINT (193402.32920014623 526400.4988263814)
inspireadressen.3849,Muggenbeet,1,a,,Blokzijl,8356VK,POINT (196008.68395494332 528508.0376439386)
inspireadressen.3850,Wetering-Oost,6,b,,Wetering,8363TH,POINT (196058.9472299144 529466.0044622858)
inspireadressen.3851,Wetering-Oost,6,c,,Wetering,8363TH,POINT (196074.85241218613 529485.1680055717)
inspireadressen.3852,Kalenberg-Noord,24,b,,Kalenberg,8377HC,POINT (193011.32577311876 532402.5011430995)
inspireadressen.3853,Kalenberg-Noord,12,a,,Kalenberg,8377HC,POINT (192839.6255173427 532617.1514814522)
inspireadressen.3854,Kalenberg-Noord,12,b,,Kalenberg,8377HC,POINT (192853.7309006899 532631.522327867)
inspireadressen.3855,Cornelisgracht,32,b,,Giethoorn,8355CH,POINT (200548.11204718854 526254.7606189458)
inspireadressen.3856,Cornelisgracht,32,c,,Giethoorn,8355CH,POINT (200529.12134018104 526261.1616550171)
inspireadressen.3857,Cornelisgracht,32,d,,Giethoorn,8355CH,POINT (200510.72530317484 526255.2344897508)
inspireadressen.3858,Cornelisgracht,32,e,,Giethoorn,8355CH,POINT (200492.87065963083 526248.9187243495)
inspireadressen.3859,Cornelisgracht,32,f,,Giethoorn,8355CH,POINT (200469.98477673784 526242.7332970287)
inspireadressen.3860,De Werven,12,,,Steenwijk,8331VB,POINT (202977.4482475684 533400.4082060796)
inspireadressen.3861,De Werven,10,,,Steenwijk,8331VB,POINT (202969.6623945828 533373.2679875306)
inspireadressen.3862,De Werven,8,,,Steenwijk,8331VB,POINT (202963.92921617464 533353.5505787559)
inspireadressen.3863,De Werven,6,,,Steenwijk,8331VB,POINT (202955.94115818723 533330.8027281796)
inspireadressen.3864,De Werven,4,,,Steenwijk,8331VB,POINT (202950.40928031233 533308.9189469791)
inspireadressen.3865,De Werven,2,,,Steenwijk,8331VB,POINT (202941.88576651734 533282.3591382209)
inspireadressen.3866,De Rietlanden,1,a,,Giethoorn,8355CP,POINT (199830.43479177693 526195.7645274408)
inspireadressen.3867,De Rietlanden,1,b,,Giethoorn,8355CP,POINT (199737.96073407045 526192.8949405121)
inspireadressen.3868,De Rietlanden,1,c,,Giethoorn,8355CP,POINT (199711.93141271183 526190.6673285781)
inspireadressen.3869,De Rietlanden,1,d,,Giethoorn,8355CP,POINT (199671.653037707 526187.9570344738)
inspireadressen.3870,De Rietlanden,1,e,,Giethoorn,8355CP,POINT (199639.35178194832 526185.5276789475)
inspireadressen.3871,De Rietlanden,1,f,,Giethoorn,8355CP,POINT (199607.95444760745 526183.3257742393)
inspireadressen.3872,De Rietlanden,1,g,,Giethoorn,8355CP,POINT (199571.72042031554 526182.0165490268)
inspireadressen.3873,De Rietlanden,1,h,,Giethoorn,8355CP,POINT (199541.39163314947 526179.4784339311)
inspireadressen.3874,De Rietlanden,1,j,,Giethoorn,8355CP,POINT (199517.96102545055 526177.0626698342)
inspireadressen.3875,De Rietlanden,1,k,,Giethoorn,8355CP,POINT (199497.02909079226 526174.5255170332)
inspireadressen.3876,De Rietlanden,1,l,,Giethoorn,8355CP,POINT (199467.14518016053 526173.0920034568)
inspireadressen.3877,De Rietlanden,1,m,,Giethoorn,8355CP,POINT (199434.15029305924 526170.689614113)
inspireadressen.3878,Veneweg,249,a,,Wanneperveen,7946LV,POINT (202182.04511124126 523071.6729619726)
inspireadressen.3879,Veneweg,249,b,,Wanneperveen,7946LV,POINT (202201.4226008874 523082.34114872385)
inspireadressen.3880,Veneweg,243,a,,Wanneperveen,7946LV,POINT (202246.8902685844 523113.9288923195)
inspireadressen.3881,Veneweg,217,b,,Wanneperveen,7946LS,POINT (202848.896548145 523113.20430861163)
inspireadressen.3882,Veneweg,251,a,,Wanneperveen,7946LV,POINT (201790.2120125408 523073.0838716086)
inspireadressen.3883,Rijksweg,94,C,,Laag-Keppel,6998AK,POINT (212198.55944349992 445626.44805159717)
inspireadressen.3884,Veneweg,251,b,,Wanneperveen,7946LV,POINT (201754.68098196667 523068.0929832215)
inspireadressen.3885,Veneweg,251,c,,Wanneperveen,7946LV,POINT (201714.27203551013 523035.7823022378)
inspireadressen.3886,Veneweg,251,d,,Wanneperveen,7946LV,POINT (201679.3847331668 523014.4733216169)
inspireadressen.3887,Veneweg,251,e,,Wanneperveen,7946LV,POINT (201656.79623792312 523000.6860425167)
inspireadressen.3888,Veneweg,251,f,,Wanneperveen,7946LV,POINT (201634.29431863184 522989.15191555815)
inspireadressen.3889,Veneweg,251,g,,Wanneperveen,7946LV,POINT (201613.37887778814 522983.1495997893)
inspireadressen.3890,Veneweg,251,h,,Wanneperveen,7946LV,POINT (201589.82295851613 522972.8985263464)
inspireadressen.3891,Veneweg,251,j,,Wanneperveen,7946LV,POINT (201564.93197268122 522963.92061853857)
inspireadressen.3892,Veneweg,251,k,,Wanneperveen,7946LV,POINT (201593.89140342746 522818.66408654023)
inspireadressen.3893,Veneweg,251,m,,Wanneperveen,7946LV,POINT (201565.9312603087 522868.4909570098)
inspireadressen.3894,Veneweg,251,l,,Wanneperveen,7946LV,POINT (201577.20207006627 522843.439238546)
inspireadressen.3895,Veneweg,251,n,,Wanneperveen,7946LV,POINT (201556.39260284277 522893.9102910194)
inspireadressen.3896,Veneweg,251,o,,Wanneperveen,7946LV,POINT (201548.8203595734 522919.4467633908)
inspireadressen.3897,Veneweg,251,p,,Wanneperveen,7946LV,POINT (201544.13278453052 522944.46690952353)
inspireadressen.3898,Kaai,9,,,Breskens,4511RC,POINT (28378.811953283803 380174.1987696345)
inspireadressen.3899,Kaai,11,,,Breskens,4511RC,POINT (28407.728717896436 380257.26636978233)
inspireadressen.3900,Havenkade,15,,,Drimmelen,4924BC,POINT (114908.80246658095 413526.11829778505)
inspireadressen.3901,Iedyk,7,,,W̢nswert,9178GJ,POINT (184946.33409008817 588147.788141466)
inspireadressen.3902,Iedyk,5,,,W̢nswert,9178GJ,POINT (184932.62879751992 588159.6873281387)
inspireadressen.3903,Iedyk,3,,,W̢nswert,9178GJ,POINT (184906.33805788012 588178.0347065296)
inspireadressen.3904,Park de Kempervennen,304,,,Westerhoven,5563VC,POINT (157576.2525 371169.47199999995)
inspireadressen.3905,Park de Kempervennen,303,,,Westerhoven,5563VC,POINT (157575.74414551936 371154.043329612)
inspireadressen.3906,Park de Kempervennen,305,,,Westerhoven,5563VC,POINT (157538.56402800052 371129.2332893264)
inspireadressen.3907,Park de Kempervennen,306,,,Westerhoven,5563VC,POINT (157548.87769001623 371140.7198379939)
inspireadressen.3908,Park de Kempervennen,307,,,Westerhoven,5563VC,POINT (157602.44785413073 371108.59453756886)
inspireadressen.3909,Park de Kempervennen,308,,,Westerhoven,5563VC,POINT (157603.337 371091.9905000001)
